name,url
카카오,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C4%AB%C4%AB%BF%C0&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
고려아연,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%B0%ED%B7%C1%BE%C6%BF%AC&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
기업은행,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%B1%E2%BE%F7%C0%BA%C7%E0&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
KT,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=KT&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
삼성전기,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%BB%EF%BC%BA%C0%FC%B1%E2&bgndt=&enddt=&category=MTNW&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
LG유플러스,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=LG%C0%AF%C7%C3%B7%AF%BD%BA&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
강원랜드,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%B0%AD%BF%F8%B7%A3%B5%E5&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
LG디스플레이,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=LG%B5%F0%BD%BA%C7%C3%B7%B9%C0%CC&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
현대건설,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C7%F6%B4%EB%B0%C7%BC%B3&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
현대제철,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C7%F6%B4%EB%C1%A6%C3%B6&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
한온시스템,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C7%D1%BF%C2%BD%C3%BD%BA%C5%DB&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
코웨이,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C4%DA%BF%FE%C0%CC&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
현대중공업지주,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C7%F6%B4%EB%C1%DF%B0%F8%BE%F7%C1%F6%C1%D6&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
현대글로비스,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C7%F6%B4%EB%B1%DB%B7%CE%BA%F1%BD%BA&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
롯데쇼핑,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%B7%D4%B5%A5%BC%EE%C7%CE&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
아모레G,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%BE%C6%B8%F0%B7%B9G&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
이마트,http://search.mt.co.kr/searchNewsList.html?srchFd=TOTAL&range=TOTAL&reSrchFlag=&preKwd=&search_type=m&kwd=%C0%CC%B8%B6%C6%AE&bgndt=&enddt=&category=TOTAL&sortType=allwordsyn&subYear=&category=MTNW&subType=mt
